Campaign,Ad group,Impressions,Clicks,Cost,Conversions,Date
キャンペーン_A,広告グループ_1,5000,150,3000.00,12,2024-04-01
キャンペーン_A,広告グループ_1,5200,160,3100.00,14,2024-04-02
キャンペーン_A,広告グループ_1,4900,145,2950.00,11,2024-04-03
キャンペーン_A,広告グループ_1,5100,155,3050.00,13,2024-04-04
キャンペーン_A,広告グループ_1,5300,162,3150.00,15,2024-04-05
キャンペーン_A,広告グループ_2,4800,140,2900.00,10,2024-04-01
キャンペーン_A,広告グループ_2,5100,155,3050.00,13,2024-04-02
キャンペーン_A,広告グループ_2,4700,138,2850.00,9,2024-04-03
キャンペーン_A,広告グループ_2,5000,148,3000.00,12,2024-04-04
キャンペーン_A,広告グループ_2,5200,156,3100.00,14,2024-04-05
キャンペーン_B,広告グループ_3,6000,180,4000.00,15,2024-04-01
キャンペーン_B,広告グループ_3,6200,190,4100.00,17,2024-04-02
キャンペーン_B,広告グループ_3,5800,175,3950.00,14,2024-04-03
キャンペーン_B,広告グループ_3,6300,195,4200.00,18,2024-04-04
キャンペーン_B,広告グループ_3,6500,205,4300.00,20,2024-04-05
キャンペーン_B,広告グループ_4,5500,165,3500.00,12,2024-04-01
キャンペーン_B,広告グループ_4,5800,175,3700.00,14,2024-04-02
キャンペーン_B,広告グループ_4,5400,162,3400.00,11,2024-04-03
キャンペーン_B,広告グループ_4,5700,172,3650.00,13,2024-04-04
キャンペーン_B,広告グループ_4,6000,185,3850.00,15,2024-04-05
キャンペーン_C,広告グループ_5,3500,105,2000.00,8,2024-04-01
キャンペーン_C,広告グループ_5,3700,110,2100.00,9,2024-04-02
キャンペーン_C,広告グループ_5,3400,102,1950.00,7,2024-04-03
キャンペーン_C,広告グループ_5,3800,115,2150.00,10,2024-04-04
キャンペーン_C,広告グループ_5,4000,120,2200.00,11,2024-04-05
キャンペーン_C,広告グループ_6,4200,126,2400.00,9,2024-04-01
キャンペーン_C,広告グループ_6,4500,135,2550.00,11,2024-04-02
キャンペーン_C,広告グループ_6,4100,123,2350.00,8,2024-04-03
キャンペーン_C,広告グループ_6,4400,132,2500.00,10,2024-04-04
キャンペーン_C,広告グループ_6,4600,138,2600.00,12,2024-04-05
